postal_code,attendance,lat,lon
T2T3P2,85,51.021542,-114.090842
T3G4W3,85,51.146979,-114.178273
T2Z4M4,85,50.931659,-113.966685
T3E2L5,85,51.037679,-114.131249
T2M0Z3,85,51.069652,-114.079097
T3L2S4,85,51.134679,-114.245153
T2N4A7,85,51.068114,-114.13916
T3G2A9,84,51.123294,-114.1733
T3H2T6,84,51.040317,-114.174014
T2V4Y8,84,50.993822,-114.0900155
T2M0B1,84,51.060602,-114.065293
T2S2Z5,84,51.0214345,-114.0642885
T2J3L2,84,50.943344,-114.061049
T3H1M9,84,51.042982,-114.165845
T2J6J9,84,50.928466,-114.021031
T3E2R8,84,51.030895,-114.134287
T2N3B4,84,51.06422,-114.141035
T3C1L2,84,51.039258,-114.1254495
T2W1M7,84,50.944671,-114.082243
T2W0S3,84,50.961942,-114.089512
T3H0B7,84,51.035768,-114.215387
T2Y5J6,83,50.91026303,-114.1115708
T3K0C2,83,51.164753,-114.103978
T2X3T8,83,50.878502,-114.030015
T3G5V6,83,51.143068,-114.226696
T2N0B8,82,51.053476,-114.11285
T2A5C8,82,51.055913,-113.939107
T3H3S6,82,51.01966,-114.199083
T2W1X6,81,50.958335,-114.130976
T2N4N6,81,51.059947,-114.141158
T3K4P4,81,51.16304,-114.04109
T2N2J6,81,51.058312,-114.105582
T3G1T6,81,51.123506,-114.174874
T3H1J6,81,51.0541225,-114.183822
T2Z3Z6,81,50.923347,-113.964785
T3K4B9,81,51.145832,-114.050444
T2V4K8,80,50.971341,-114.10323
T2L1C9,80,51.099052,-114.123465
T3K4E5,80,51.1329743,-114.1156562
T2Y1V6,80,50.924165,-114.077372
T2W4V6,80,50.935131,-114.119992
T2S1P4,80,51.03309816,-114.0666096
T3B2W6,80,51.100756,-114.170676
T3A0N9,80,51.094303,-114.148879
T2W5Z2,80,50.941387,-114.138783
T3K1T7,80,51.13113416,-114.100295
T3G5E7,80,51.131262,-114.219656
T2P5J4,80,51.04808298,-114.0874823
T2K2A8,80,51.0944995,-114.077315
T2E6J2,80,51.07205994,-114.0190662
T2T4H6,80,51.018024,-114.10051
T3H5X7,80,51.033008,-114.212944
T2X2X5,79,50.903829,-114.033808
T2P3R8,79,51.05255104,-114.0735349
T2Y3N6,79,50.899672,-114.097906
T3L2T4,79,51.116194,-114.246737
T2Y3N3,79,50.905489,-114.104073
T2N3L2,79,51.051176,-114.107959
T2G5K3,79,51.041049,-114.023399
T2Y5G3,78,50.912274,-114.126701
T2N2C1,78,51.056114,-114.097678
T2Z2T1,78,50.939466,-113.984407
T3B3B1,78,51.10439,-114.168244
T3H2Z5,78,51.04114,-114.169754
T3H5Z2,78,51.044689,-114.212543
T3L2V6,78,51.114096,-114.244006
T2Y4R5,78,50.91954789,-114.1250311
T3G5C9,78,51.141667,-114.169878
T2J3H2,78,50.934668,-114.041709
T3A1H1,78,51.108183,-114.145454
T3G5M3,78,51.142795,-114.233146
T2K0R7,78,51.121244,-114.063347
T3L2G1,78,51.127443,-114.235103
T3H1C9,78,51.056227,-114.174543
T2V0J6,78,50.966224,-114.132727
T2J5V9,78,50.927366,-114.014918
T2J5T7,78,50.924013,-114.014288
T2K2H9,77,51.094471,-114.088666
T3L3B3,77,51.118721,-114.251269
T3C3C5,77,51.054845,-114.1463575
T3C1K8,77,51.040551,-114.1254615
T2K0Y7,77,51.087932,-114.0666725
T2J2J7,77,50.946018,-114.0449205
T3B2A6,77,51.095897,-114.211127
T3H2Z6,77,51.058707,-114.175163
T3E5X7,76,51.00207,-114.133362
T3G5P7,76,51.142303,-114.230395
T3L3E5,76,51.118026,-114.250827
T2Z4G6,76,50.917654,-113.953118
T2W4B2,76,50.950962,-114.132781
T1Y2E4,76,51.077452,-113.9494325
T3L1V9,76,51.11786,-114.222839
T2E4C4,76,51.054738,-114.045691
T2Z3C2,76,50.932953,-113.978564
T3G5Z1,76,51.140376,-114.226133
T2N0C2,76,51.05331,-114.118723
T3L2K4,75,51.127159,-114.245858
T3A2K4,75,51.111589,-114.144869
T1Y1H8,75,51.079436,-113.96006
T3G1G3,75,51.117772,-114.193925
T3E2B2,75,51.03012304,-114.1236922
T3H5N7,75,51.066454,-114.196815
T3H5T2,75,51.030536,-114.193186
T2N0V2,75,51.056914,-114.128062
T3G5Y8,75,51.151905,-114.253868
T3K1S6,75,51.127229,-114.086037
T2Z4H2,75,50.92302,-113.97033
T2S3C7,75,51.104564,-114.06372
T3K4R8,74,51.165981,-114.041995
T3E1V7,74,51.034591,-114.119553
T2E0X9,74,51.061417,-114.049851
T2C1X1,74,50.991639,-114.020375
T3E7T7,74,51.02028709,-114.1494961
T2Z1L9,73,50.943489,-113.99843
T3K6J6,73,51.173012,-114.060952
T2K5N8,73,51.102781,-114.08677
T2P5E9,73,51.051672,-114.070923
T3B0S2,73,51.07096217,-114.1564003
T3E5N7,73,50.995732,-114.111723
T3C2V2,73,51.04251,-114.158406
T3G3R4,72,51.139273,-114.181637
T2H0X8,72,50.987655,-114.062707
T3H5W5,72,51.060215,-114.189842
T2W1C2,72,50.955097,-114.102709
T3J2Z6,72,51.10967102,-113.9439492
T3H2C5,72,51.023708,-114.1672
T3G5S2,72,51.150605,-114.251719
T2V4H3,72,50.971314,-114.124007
T2Z1A3,72,50.902282,-113.98726
T2Z0B7,72,50.909241,-113.971788
T2Y3L1,72,50.904299,-114.101302
T3J3J7,72,51.102922,-113.931932
T3G1K4,72,51.11978,-114.171747
T3L2J5,72,51.12345,-114.250531
T2W2J7,72,50.95854,-114.121126
T3A5J3,72,51.141347,-114.153522
T3H5Y7,72,51.042139,-114.214667
T2V4P6,72,50.97047203,-114.1253563
T3H3B8,72,51.021297,-114.179132
T3B3T1,72,51.108885,-114.196781
T3E5T2,72,50.997517,-114.132818
T3C2R8,72,51.045218,-114.155297
T2Y2X5,72,50.927957,-114.09763
T3E7R5,72,51.004425,-114.12697
T2Z4H8,72,50.925789,-113.964939
T3H4N7,71,51.011366,-114.194167
T2Z4M7,71,50.919988,-113.947413
T2W1K5,71,50.947985,-114.078978
T2M1H4,71,51.070526,-114.102098
T2X2J1,70,50.903377,-114.034287
T2M1G8,70,51.07059417,-114.097364
T2T6C3,70,51.01729049,-114.1113618
T2K5P6,70,51.10386,-114.086035
T3C3J4,70,51.056359,-114.155523
T2Y4E9,70,50.898721,-114.106903
T2E2B3,70,51.077839,-114.0564375
T2T1T4,70,51.025829,-114.111753
T3M0J4,69,50.878674,-113.948718
T2C4C4,69,50.970264,-114.016427
T2C0E3,69,50.994119,-114.009948
T2E0P8,69,51.059773,-114.059769
T2K4K2,69,51.11880826,-114.0728566
T3E0S3,69,51.00231,-114.123376
T2V2J9,69,50.985236,-114.077512
T3G3G3,68,51.131311,-114.16974
T2Z4W5,68,50.921544,-113.957754
T2X3C2,68,50.898157,-114.02847
T3E5Z6,68,50.99877529,-114.137934
T2K2T5,68,51.100664,-114.07545
T2Z4E3,68,50.923203,-113.972732
T2J6Y8,68,50.933757,-114.008788
T2K0A7,68,51.080704,-114.083297
T2Z1A4,68,50.90242,-113.988856
T2W5R2,68,50.932995,-114.127387
T3K5V8,68,51.17545,-114.04651
T2Y4M9,68,50.9219,-114.127451
T2C4A2,68,50.971132,-114.0227168
T3B5Z2,67,51.08514448,-114.2598719
T2E4S4,67,51.05864,-114.029246
T2X2C2,67,50.904161,-114.050527
T3E2Z6,66,51.033023,-114.139738
T3A0T7,66,51.093914,-114.158796
T3K0E3,66,51.142369,-114.074182
T2K2T3,66,51.098658,-114.071618
T2K0Z6,66,51.083403,-114.068243
T3A2C9,66,51.088443,-114.158541
T2V2P3,66,50.985352,-114.088181
T3H4P2,66,51.056117,-114.207363
T2J2X4,66,50.93642358,-114.0376001
T2V0W7,66,50.973552,-114.08643
T2E5J8,66,51.061475,-114.044052
T2Z4E8,66,50.912858,-113.958092
T3G5W1,66,51.153258,-114.247089
T3C2R6,66,51.048661,-114.156229
T3H3M4,66,51.011253,-114.178234
T2A7T9,66,51.048854,-113.924341
T1Y1W3,66,51.06834775,-113.9518839
T3L3A3,65,51.119369,-114.250579
T2V3H9,65,50.972065,-114.092095
T3G2G9,65,51.127983,-114.18786
T2Z1V7,65,50.948796,-114.010308
T2E2E7,65,51.080639,-114.061388
T2Z2M3,65,50.94,-113.977954
T2K0V3,65,50.996128,-114.063662
T2Z2N5,65,50.903814,-113.990911
T2E2H7,65,51.08236,-114.059768
T2G0N9,65,51.034301,-114.015003
T2Y4Y1,65,50.902231,-114.11922
T2G0Z6,64,51.039335,-114.035411
T3K0E6,64,51.142428,-114.074846
T2T4H9,64,51.0146795,-114.1004935
T3L2B6,64,51.127777,-114.246298
T3C1N6,64,51.038787,-114.134075
T2N1Z2,64,51.053889,-114.092605
T2Z4Z5,64,50.90886,-113.963882
T3A2B1,64,51.113186,-114.17005
T2Y3R6,64,50.89986,-114.103763
T2Z1A2,64,50.902281,-113.98726
T3A6E2,64,51.150731,-114.131959
T2N3H4,64,51.05023,-114.099204
T3L3E1,63,51.120095,-114.242736
T2T3C8,63,51.0224675,-114.0865205
T2Z4N7,63,50.918568,-113.948916
T2T6B6,63,51.011295,-114.11129
T3E6V5,63,51.021599,-114.130868
T1Y4S9,63,51.08892,-113.965073
T2Z3H7,63,50.934838,-113.97832
T2P2T4,63,51.045904,-114.080206
T2S3B6,63,51.030591,-114.063011
T2Z1H9,63,50.903485,-113.982832
T2N1K2,63,51.06325,-114.113806
T2A2X3,63,51.054695,-113.963969
T2Z4K3,63,50.925458,-113.962049
T2C4H3,63,50.978918,-114.006245
T2Z4V5,63,50.914549,-113.940746
T3H1E1,63,51.055112,-114.180528
T3A3S1,63,51.119894,-114.138175
T2B3H3,63,51.015661,-113.967029
T3H0C7,62,51.040672,-114.220158
T3E2Z3,62,51.03458,-114.139739
T3C0X7,62,51.039459,-114.09212
T3C2S7,62,51.047645,-114.158218
T2X2T4,62,50.897337,-114.034578
T3L2C4,62,51.128821,-114.247636
T2S1M7,62,51.012342,-114.087147
T2Y1J3,61,50.913271,-114.078287
T3A5X7,61,51.147234,-114.127575
T3K0C7,61,51.15564,-114.070594
T2Z2N1,61,50.953443,-114.008505
T2X2B3,61,50.907931,-114.03961
T3G4C4,61,51.140879,-114.185269
T2L1S7,60,51.095466,-114.1317155
T3L0B8,60,51.121253,-114.243686
T2E6J6,60,51.050379,-114.008386
T2W2C1,60,50.934724,-114.075517
T3E3R9,60,51.02401349,-114.1507553
T2L0Z3,60,51.088422,-114.112636
T2J2V9,60,50.940831,-114.045824
T2N2H3,60,51.056505,-114.104342
T3H5V3,60,51.056562,-114.210059
T2E0N4,60,51.058249,-114.049563
T2G1L6,60,51.037018,-114.039524
T3J2B9,60,51.101413,-113.937319
T3H5B8,60,51.023493,-114.195996
T2V3J6,60,50.971103,-114.089287
T2J2A1,60,50.952393,-114.0515985
T3L0A1,60,51.126753,-114.245934
T2E1E7,60,51.065192,-114.052323
T2K3C3,60,51.102774,-114.068211
T2T4P2,60,51.020014,-114.103387
T2B1Y7,60,51.019478,-113.983925
T3H4N6,60,51.011328,-114.196688
T2M3G2,60,51.069206,-114.076461
T3G4W9,60,51.144813,-114.247313
T3M0A8,60,50.883308,-113.961492
T2Z2V1,60,50.924418,-113.980392
T2J1M8,60,50.962116,-114.050897
T3R1N4,60,51.157434,-114.137844
T2R0Y9,59,51.038445,-114.0751
T2L0K7,59,51.081745,-114.098475
T3E2L9,59,51.033021,-114.131234
T3B4X5,59,51.105298,-114.210357
T2K2L9,59,51.0963285,-114.090356
T3E5S4,58,51.004197,-114.136737
T3J1Y9,58,51.109224,-113.953398
T2T3S9,58,51.0366735,-114.094703
T2E3Y8,58,51.061606,-114.048324
T2X3B8,58,50.899621,-114.050826
T3L1T4,58,51.120862,-114.213294
T3A5B5,58,51.144305,-114.102115
T3H5S5,58,51.070481,-114.206913
T3K1N7,58,51.129968,-114.068993
T3E4E6,58,51.032832,-114.146458
T2V4S5,58,50.962701,-114.116053
T2Y4K7,58,50.897052,-114.087668
T2E1M3,58,51.067901,-114.049956
T3H1C4,58,51.055362,-114.173188
T3H4V6,58,51.021918,-114.190166
T2A6E4,58,51.051544,-113.975819
T2J5C6,57,50.913305,-114.021125
T2Y4L3,57,50.896781,-114.108985
T3A2H1,57,51.107856,-114.165539
T2Z3E2,57,50.912174,-113.971472
T2K2H8,57,51.094471,-114.088665
T2V0S1,57,50.987521,-114.088483
T3C2R1,57,51.049449,-114.158371
T3H3Y6,57,51.032424,-114.229319
T2C4J4,57,50.96751,-114.005894
T2Z0B9,57,51.049641,-113.984462
T2T5G3,57,51.031482,-114.113692
T2C3K4,57,50.973752,-114.01613
T3G5Z7,57,51.153422,-114.253023
T3A5C7,57,51.144676,-114.105037
T3B6A5,57,51.098596,-114.262787
T3L3B6,57,51.128599,-114.25335
T2A0C8,57,51.04647,-113.992561
T3C0G6,57,51.045036,-114.147354
T2Y1G8,57,50.90845148,-114.0777207
T2E3Z1,57,51.068041,-114.048324
T3E5G7,56,50.999626,-114.109302
T3B4A2,56,51.110729,-114.188464
T3C2Z1,56,51.04723606,-114.1311533
T3L3E4,56,51.1155,-114.246588
T2Z3X4,56,50.924792,-113.960305
T1Y5H2,56,51.094456,-113.942659
T2L1B1,56,51.092087,-114.116696
T2R1L2,56,51.040091,-114.085524
T2V4H1,56,50.9707525,-114.1229805
T3K4P3,56,51.163384,-114.039025
T3H2N1,56,51.03450796,-114.1666754
T3G5X7,56,51.148582,-114.219701
T3H2V2,56,51.042673,-114.186564
T2T4H5,56,51.020043,-114.10048
T3G4P9,56,51.144382,-114.184387
T2T6C7,56,51.021386,-114.113486
T2T4L8,56,51.014143,-114.101944
T3K4Z2,56,51.146082,-114.066638
T3G1X4,56,51.128551,-114.1893495
T2E0H3,56,51.055457,-114.059697
T2A6Z3,56,51.051772,-113.934133
T2R0R4,56,51.038902,-114.074496
T3J1S6,56,51.1059625,-113.9526915
T3G5S5,55,51.152598,-114.232947
T2J2H3,55,50.949374,-114.036007
T3A5T8,55,51.137466,-114.125598
T3E2E4,55,51.026172,-114.1253055
